image_filepath,social-media-channel
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/silver-papaya68/photos/2025-02-21T13-27-52_image_picker_A65756E6-B27B-4797-AFCD-1B5CAB39123D-67550-00001F7BED01563F.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/lime-horse25/photos/2025-02-21T13-27-50_image_picker_2725C6CC-3DD5-43BD-8FE1-B48C3D7F82AA-32540-000004FE97EF009C.png,Instagram
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/lime-horse25/photos/2025-03-04T15-35-11_image_picker_D41B32D8-0E9C-48D9-A58B-C2BDB64F24BC-63912-000009EB6283F5C6.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/lime-horse25/photos/2025-03-04T15-35-12_image_picker_AD9502FD-BF76-46A1-82C7-378CE48C49BA-63912-000009EB626AB78F.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/lime-horse25/photos/2025-02-21T13-27-56_image_picker_14C03C2A-A292-414D-9965-D86ED2EE42BC-32540-000004FE977F0C9F.png,Instagram
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/lime-horse25/photos/2025-03-04T15-35-11_image_picker_5C8D5DED-AC0C-408A-A448-7AED03939CAA-63912-000009EB624D869E.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/purple-peach97/photos/2025-02-21T13-27-37_image_picker_87056AEE-AB76-4DFC-B595-0F0C753A3872-11349-000004289BD3CE4D.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/purple-peach97/photos/2025-02-21T13-27-34_image_picker_C9DD898C-EB4D-4A42-B9D4-6CE2492CFEFC-11349-000004289B953579.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/purple-peach97/photos/2025-02-21T13-27-34_image_picker_C9DD898C-EB4D-4A42-B9D4-6CE2492CFEFC-11349-000004289B953579.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/purple-peach97/photos/2025-02-21T13-27-38_image_picker_CC48C2C6-931F-4F91-B8D5-C0E6B8212718-11349-000004289CA4846B.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/purple-peach97/photos/2025-02-21T13-27-36_image_picker_BA79D866-3DFE-4F82-8EF3-4B76E4AD5D24-11349-000004289B72F974.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-mosquito54/photos/2025-02-21T13-27-51_image_picker_67D6703F-12C8-48E9-AF99-F1CBD87C51BA-32751-00000540613B28CC.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-mosquito54/photos/2025-02-21T13-27-47_image_picker_784E9757-0A84-48C3-96B4-531B48A96603-32751-00000540615E6A5D.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-mosquito54/photos/2025-02-21T13-27-49_image_picker_584115E1-CA92-4AD6-B2BD-DC8A739B884D-32751-000005405EE6D164.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-mosquito54/photos/2025-02-21T13-27-49_image_picker_EED0F5AB-3F3B-4EF9-89CC-D5EB108B38A1-32751-0000054060BAA6EF.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-mosquito54/photos/2025-02-21T13-27-48_image_picker_A7C64B20-4870-48FB-B72C-823FEC09FBCD-32751-0000054061FC414A.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-mosquito54/photos/2025-02-21T13-27-53_image_picker_E8545048-B41B-402B-B5F7-5DC121AFFC31-32751-000005405F306F71.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/yellow-horse10/photos/2025-02-25T21-34-51_image_picker_FED862FB-83EE-4F86-BA5C-6258893995A8-4255-000001BF07BDC863.png,Instagram
